"","state","date","confirmed","deaths","recovered","type"
"1","New South Wales",2020-01-22,0,0,0,"cumulative"
"2","Victoria",2020-01-22,0,0,0,"cumulative"
"3","Queensland",2020-01-22,0,0,0,"cumulative"
"4","South Australia",2020-01-22,0,0,0,"cumulative"
"5","Western Australia",2020-01-22,0,0,0,"cumulative"
"6","Tasmania",2020-01-22,0,0,0,"cumulative"
"7","Northern Territory",2020-01-22,0,0,0,"cumulative"
"8","Australian Capital Territory",2020-01-22,0,0,0,"cumulative"
"9","New South Wales",2020-01-23,0,0,0,"cumulative"
"10","Victoria",2020-01-23,0,0,0,"cumulative"
"11","Queensland",2020-01-23,0,0,0,"cumulative"
"12","South Australia",2020-01-23,0,0,0,"cumulative"
"13","Western Australia",2020-01-23,0,0,0,"cumulative"
"14","Tasmania",2020-01-23,0,0,0,"cumulative"
"15","Northern Territory",2020-01-23,0,0,0,"cumulative"
"16","Australian Capital Territory",2020-01-23,0,0,0,"cumulative"
"17","New South Wales",2020-01-24,0,0,0,"cumulative"
"18","Victoria",2020-01-24,0,0,0,"cumulative"
"19","Queensland",2020-01-24,0,0,0,"cumulative"
"20","South Australia",2020-01-24,0,0,0,"cumulative"
"21","Western Australia",2020-01-24,0,0,0,"cumulative"
"22","Tasmania",2020-01-24,0,0,0,"cumulative"
"23","Northern Territory",2020-01-24,0,0,0,"cumulative"
"24","Australian Capital Territory",2020-01-24,0,0,0,"cumulative"
"25","New South Wales",2020-01-25,0,0,0,"cumulative"
"26","Victoria",2020-01-25,0,0,0,"cumulative"
"27","Queensland",2020-01-25,0,0,0,"cumulative"
"28","South Australia",2020-01-25,0,0,0,"cumulative"
"29","Western Australia",2020-01-25,0,0,0,"cumulative"
"30","Tasmania",2020-01-25,0,0,0,"cumulative"
"31","Northern Territory",2020-01-25,0,0,0,"cumulative"
"32","Australian Capital Territory",2020-01-25,0,0,0,"cumulative"
"33","New South Wales",2020-01-26,3,0,0,"cumulative"
"34","Victoria",2020-01-26,1,0,0,"cumulative"
"35","Queensland",2020-01-26,0,0,0,"cumulative"
"36","South Australia",2020-01-26,0,0,0,"cumulative"
"37","Western Australia",2020-01-26,0,0,0,"cumulative"
"38","Tasmania",2020-01-26,0,0,0,"cumulative"
"39","Northern Territory",2020-01-26,0,0,0,"cumulative"
"40","Australian Capital Territory",2020-01-26,0,0,0,"cumulative"
"41","New South Wales",2020-01-27,4,0,0,"cumulative"
"42","Victoria",2020-01-27,1,0,0,"cumulative"
"43","Queensland",2020-01-27,0,0,0,"cumulative"
"44","South Australia",2020-01-27,0,0,0,"cumulative"
"45","Western Australia",2020-01-27,0,0,0,"cumulative"
"46","Tasmania",2020-01-27,0,0,0,"cumulative"
"47","Northern Territory",2020-01-27,0,0,0,"cumulative"
"48","Australian Capital Territory",2020-01-27,0,0,0,"cumulative"
"49","New South Wales",2020-01-28,4,0,0,"cumulative"
"50","Victoria",2020-01-28,1,0,0,"cumulative"
"51","Queensland",2020-01-28,0,0,0,"cumulative"
"52","South Australia",2020-01-28,0,0,0,"cumulative"
"53","Western Australia",2020-01-28,0,0,0,"cumulative"
"54","Tasmania",2020-01-28,0,0,0,"cumulative"
"55","Northern Territory",2020-01-28,0,0,0,"cumulative"
"56","Australian Capital Territory",2020-01-28,0,0,0,"cumulative"
"57","New South Wales",2020-01-29,4,0,0,"cumulative"
"58","Victoria",2020-01-29,1,0,0,"cumulative"
"59","Queensland",2020-01-29,1,0,0,"cumulative"
"60","South Australia",2020-01-29,0,0,0,"cumulative"
"61","Western Australia",2020-01-29,0,0,0,"cumulative"
"62","Tasmania",2020-01-29,0,0,0,"cumulative"
"63","Northern Territory",2020-01-29,0,0,0,"cumulative"
"64","Australian Capital Territory",2020-01-29,0,0,0,"cumulative"
"65","New South Wales",2020-01-30,4,0,2,"cumulative"
"66","Victoria",2020-01-30,2,0,0,"cumulative"
"67","Queensland",2020-01-30,3,0,0,"cumulative"
"68","South Australia",2020-01-30,0,0,0,"cumulative"
"69","Western Australia",2020-01-30,0,0,0,"cumulative"
"70","Tasmania",2020-01-30,0,0,0,"cumulative"
"71","Northern Territory",2020-01-30,0,0,0,"cumulative"
"72","Australian Capital Territory",2020-01-30,0,0,0,"cumulative"
"73","New South Wales",2020-01-31,4,0,2,"cumulative"
"74","Victoria",2020-01-31,3,0,0,"cumulative"
"75","Queensland",2020-01-31,2,0,0,"cumulative"
"76","South Australia",2020-01-31,0,0,0,"cumulative"
"77","Western Australia",2020-01-31,0,0,0,"cumulative"
"78","Tasmania",2020-01-31,0,0,0,"cumulative"
"79","Northern Territory",2020-01-31,0,0,0,"cumulative"
"80","Australian Capital Territory",2020-01-31,0,0,0,"cumulative"
"81","New South Wales",2020-02-01,4,0,2,"cumulative"
"82","Victoria",2020-02-01,4,0,0,"cumulative"
"83","Queensland",2020-02-01,3,0,0,"cumulative"
"84","South Australia",2020-02-01,1,0,0,"cumulative"
"85","Western Australia",2020-02-01,0,0,0,"cumulative"
"86","Tasmania",2020-02-01,0,0,0,"cumulative"
"87","Northern Territory",2020-02-01,0,0,0,"cumulative"
"88","Australian Capital Territory",2020-02-01,0,0,0,"cumulative"
"89","New South Wales",2020-02-02,4,0,2,"cumulative"
"90","Victoria",2020-02-02,4,0,0,"cumulative"
"91","Queensland",2020-02-02,2,0,0,"cumulative"
"92","South Australia",2020-02-02,2,0,0,"cumulative"
"93","Western Australia",2020-02-02,0,0,0,"cumulative"
"94","Tasmania",2020-02-02,0,0,0,"cumulative"
"95","Northern Territory",2020-02-02,0,0,0,"cumulative"
"96","Australian Capital Territory",2020-02-02,0,0,0,"cumulative"
"97","New South Wales",2020-02-03,4,0,2,"cumulative"
"98","Victoria",2020-02-03,4,0,0,"cumulative"
"99","Queensland",2020-02-03,2,0,0,"cumulative"
